Area;Nome;Perimetro;CodiceWGI;Regione;Codice;Triangulation Area;Flat Triangulation Area;Map Area;Area Ratio;Map Area Ratio;Fourier H;DFA H;Height Stdev;Higuchi H (paper)
179647;Suretta Sud;2179;I4L01113007;Lombardia;371.0;186198.78606734273;180741.85081287342;173037.5;1.0301918743773348;1.0760603110154894;0.4672624878508882;1.0127211009614632;42.83318726779161;0.9002104275567706
40566;Orsareigls;1001;I4L01113008;Lombardia;372.0;41983.964555999766;39499.019995353934;37425.0;1.062911549728022;1.1218160202003946;0.4943011553702781;0.8751447738899631;29.773385878819646;
88978;Pizzo Tambò;1907;I4L01113006;Lombardia;369.0;95850.43867189737;93241.98445195146;82700.0;1.0279751040829692;1.1590137687049258;0.5769914671268189;0.7829361263144825;39.642896565414034;0.9186105083065543
49498;Passo Zoccone;1220;I4L01113005;Lombardia;368.0;55779.49365094023;52901.98758026296;44337.5;1.0543931561420357;1.2580658280448882;0.5634377660706456;0.7478614064107447;49.0303147678698;
75991;Morteè;2035;I4L01113009;Lombardia;373.0;85962.98480917688;83531.15197193777;69437.5;1.0291128851910971;1.23799078033018;0.39349229566140204;1.2029872514775382;97.96332361140446;0.8979208378839412
363637;Ponciagna;3488;I4R01313G15;Lombardia;1005.0;403866.4367739717;390247.1950989306;351762.5;1.0348990123339348;1.1481224882526468;0.5724589180375692;0.9064194442888056;109.28183419228728;0.8838363965362046
210638;Cima di Lago Ovest;2637;I4R01313G14;Lombardia;1004.0;218542.2022455725;214043.69743827515;202300.0;1.0210167590129329;1.0802877026474171;0.5195130754300772;0.7331697477631811;51.271488366435925;0.9403406274238895
108666;Cima di Lago Nord;2115;I4R01313G13;Lombardia;1003.0;119676.89588188687;115676.86703104345;102300.0;1.0345793325278247;1.1698621298327163;0.3937773728277887;0.8918652124556598;83.69935315644553;0.924824565724466
123654;Pizzo Rosso;1880;I4R01313G12;Lombardia;1002.0;139503.94957429226;128764.36875426074;117737.5;1.0834049118085405;1.1848727004929802;0.5945247049298024;0.05472743621392598;45.663300962704156;0.8911596650015925
557185;Pizzo Ferrè;5903;I4L01113003;Lombardia;365.0;599316.2500121852;578534.9649804842;535712.5;1.0359205342626128;1.1187273957807315;0.5904309155977909;0.7110450884739342;94.61424184788956;0.8864190344536405
31030;Pizzo Quadro Nord;940;I4L01113002;Lombardia;364.0;42260.355015456254;35719.20739196152;28125.0;1.1831268972941094;1.5025904005495556;0.4759073115145911;-0.08239321542549467;42.78922095062148;
60291;Sivigia Nord Est;1411;I4L01111002;Lombardia;376.0;299662.83598325145;299099.99230205244;265887.5;1.0018817910253592;1.1270286718377187;0.5917095672325392;0.6573189221689651;80.64003013411454;0.7874642611969858
219063;Sivigia Nord Est;2709;I4L01111002;Lombardia;376.0;299662.83598325145;299099.99230205244;265887.5;1.0018817910253592;1.1270286718377187;0.5917095672325392;0.6573189221689651;80.64003013411454;0.7874642611969858
69938;Sivigia Sud Est;1985;I4L01111003;Lombardia;377.0;73171.03204816711;70140.50918493401;63225.0;1.0432064565605417;1.1573116970844937;0.5739529970793986;0.4394240764073921;33.38960934460693;0.7937834453843899
44952;Arnasca Est;1811;I4L01111004;Lombardia;378.0;72678.89256091157;57410.117444549236;39700.0;1.2659596565206472;1.830702583398276;0.5493500981448012;1.4646000007023945;115.61083855448263;0.9372889791912642
68033;Arnasca Ovest;2190;I4L01111005;Lombardia;379.0;101156.63202891547;86799.71648043717;73212.5;1.1654027931267965;1.3816852590597983;0.57766789094858;0.13891231137447024;96.39871604033695;0.6086296973883278
14517;Arnasca Ovest;860;I4L01111005;Lombardia;379.0;101156.63202891547;86799.71648043717;73212.5;1.1654027931267965;1.3816852590597983;0.57766789094858;0.13891231137447024;96.39871604033695;0.6086296973883278
27010;Spassato Ovest;1038;I4L01111007;Lombardia;381.0;31743.55424038252;28891.014153815217;23900.0;1.0987345086392757;1.3281821857900635;0.3870780669338621;1.801496973781915;53.949443269046704;
22407;Calvo;731;I4L01104002;Lombardia;383.0;24431.310478797448;23206.30569158891;19900.0;1.052787582973732;1.2277040441606757;0.6868891658986422;1.5797024655100416;30.578023751594106;
121466;Cengalo Sud Est;2702;I4L01104010;Lombardia;388.0;128058.19630876045;125513.35555393867;112125.0;1.0202754578872535;1.1421020852509294;0.6109476924729962;0.8147274496003185;87.41557048070987;0.8623684648724785
70860;Passo di Bondo;1398;I4L01104012;Lombardia;390.0;77974.4258523933;75336.52228168104;66400.0;1.03501493685691;1.1743136423553209;0.5468235279399019;0.6869544263425941;46.197849546904;0.9158295295805712
26248;Pizzo del Ferro Ovest;1304;I4L01104014;Lombardia;392.0;28271.54516810357;27511.822266900166;22275.0;1.0276144158621379;1.2692051702852332;0.4763191135431042;0.2709762614672848;59.14609559635416;
30300;Pizzo del Ferro Centrale;838;I4L01104016;Lombardia;393.0;33737.728154333774;31918.2578077024;27812.5;1.0570040619883805;1.2130419111670572;0.5228463638577026;;41.43938968871385;
19548;Zocca Sud;1123;I4L01104020;Lombardia;395.0;21910.77575288344;18435.59111882645;16112.5;1.1885041066303603;1.3598619551828357;0.3690020176244624;;29.749088919756108;
68297;Rasica Ovest Inferiore;1377;I4L01104022;Lombardia;397.0;70357.14025378585;66975.06879830312;63300.0;1.050497468926354;1.1114872078007243;0.5680031040155162;0.1993231908340144;33.31300404723258;0.8457073787987728
61479;Rasica Ovest Superiore;1374;I4L01104022;Lombardia;398.0;77494.84199634807;73350.55826422165;57012.5;1.0564996890302865;1.3592605480613564;0.4293906440473432;0.6540983969252863;42.97372300968433;
18331;Rasica Est;819;I4L01104023;Lombardia;399.0;28951.92469730296;26980.255646855552;23337.5;1.0730782197268471;1.2405752414484397;0.5495075553692932;1.9076533589887996;39.68198943619717;
9420;Rasica Est;523;I4L01104023;Lombardia;399.0;28951.92469730296;26980.255646855552;23337.5;1.0730782197268471;1.2405752414484397;0.5495075553692932;1.9076533589887996;39.68198943619717;
74972;Pizzo Torrone Ovest;1522;I4L01104025;Lombardia;400.0;85884.88680553429;82144.10702407919;69725.0;1.045539234851729;1.2317660352174151;0.6020918523511192;1.1347966873175035;67.65484639218579;0.9204166868061787
45651;Pizzo Torrone Est;1279;I4L01104026;Lombardia;401.0;51872.78781876122;49577.666137786524;45400.0;1.0462934595306703;1.1425724189154454;0.30587668792648537;0.6205996803848516;72.87493779760267;
25182;Pioda Sud Ovest;1002;I4L01104032;Lombardia;406.0;37735.29853694352;38354.84851289564;32525.0;0.9838468928968964;1.1601936521735132;0.5403178562927473;0.4825417785638951;59.94348898428605;0.8146794268424571
9227;Pioda Sud;560;I4L01104033;Lombardia;407.0;202897.5256465888;197419.96234879488;180300.0;1.027745741781251;1.1253329209461391;0.5282588205426999;0.7839600181935682;77.34351124299134;0.7998510789726152
183065;Pioda Sud;3004;I4L01104033;Lombardia;407.0;202897.5256465888;197419.96234879488;180300.0;1.027745741781251;1.1253329209461391;0.5282588205426999;0.7839600181935682;77.34351124299134;0.7998510789726152
