Area;Nome;Perimetro;CodiceWGI;Codice;Triangulation Area;Flat Triangulation Area;Area Ratio;Fourier H;DFA H;Map Area;Map Area Ratio;Height Stdev
24847;Payer Superiore;698;I4L01028002;573.0;26606.527352999437;25439.042009670688;1.0458934476732626;0.6367304237041158;0.4313480773969489;22787.5;1.1675930818650329;23.083552958140448
27791;Payer Inferiore;874;I4L01028003;574.0;31627.68569498228;30216.130403106006;1.0467152899145276;0.5200543551590986;0.2060181555181;25787.5;1.2264735121660602;31.125382341239035
30508;Punta Pisgana Nord Ovest;1113;-;574.1;59323.63551548332;58162.89575083405;1.0199567052098266;0.5492658704529196;0.7729446554322036;46825.0;1.266922274756718;71.53349686879451
21346;Punta Pisgana Nord Ovest;911;-;574.1;59323.63551548332;58162.89575083405;1.0199567052098266;0.5492658704529196;0.7729446554322036;46825.0;1.266922274756718;71.53349686879451
600205;Pisgana Est;5428;I4L01028004;575.0;635740.0355890554;607033.706448919;1.047289514297427;0.212325849263772;0.5248830029726281;586275.0;1.0843717292892503;127.23697103555452
150112;Narcanello;2309;I4L01028006;577.1;159190.47966457225;157968.1141593214;1.0077380521490429;0.4809187746152898;0.4794288916594308;144362.5;1.1027135139982494;45.63171436588352
2486582;Pisgana Ovest;12239;I4L01028006;577.0;2717778.3447046103;2620859.6530007347;1.036979733574405;0.6104259676633352;1.0647605130065578;2455387.5;1.1068633137150898;178.00674230990435
94819;Calotta;2185;I4L01028008;579.0;111909.58658471117;110187.94391169953;1.015624601130513;0.5905583228531426;0.996760364339854;89437.5;1.251260227362249;68.86726988954564
16444683;Adamello;42365;I4L01024006;608.0;16456659.43722798;15672070.550517065;1.050062873580226;0.6295719841715499;1.2279747774977623;15634000.0;1.0526198949231151;141.3827307560994
815749;Venerocolo;5359;I4L01028011;581.0;895387.7063566805;824538.1729478922;1.0859263230415233;0.5620443226332255;0.9789415190329612;802037.5;1.116391323793065;97.99950588267164
49682;Avio Est;1223;I4L01028012;582.0;57729.700059259805;56704.71384245451;1.0180758555567897;0.5356241032177569;0.8819326794412109;46750.0;1.2348598943157176;44.3852167968769
483632;Avio Centrale;4312;I4L01028013;583.0;610388.2960724654;557132.1308972929;1.095589829093864;0.6353114112855993;0.9707963902918768;512075.0;1.1919900328515654;77.66084934879999
43356;Avio Centrale;1478;I4L01028013;583.0;610388.2960724654;557132.1308972929;1.095589829093864;0.6353114112855993;0.9707963902918768;512075.0;1.1919900328515654;77.66084934879999
26166;Avio Ovest;967;I4L01028014;584.0;36175.07567268932;30597.120702799213;1.182303263894364;0.7504633919852209;0.9620461716709222;23812.5;1.5191632828425958;29.882025709309147
11179;Plem;759;I4L01028015;585.0;13977.372806558047;11280.54959705582;1.2390684235993334;0.2623895972425048;;9212.5;1.5172182150944964;27.643890572748795
45430;Miller Inferiore;1329;I4L01025013;599.1;54491.6405327058;54057.93695561325;1.0080229398589269;0.6565447957561674;0.8084313060620592;41975.0;1.2981927464611265;53.61412144772504
24384;Levade Ovest;1183;I4L01024007;610.0;25509.478953469923;22562.566337525626;1.1306107014538962;0.4526575402051836;0.4300588700955307;21512.5;1.1857979757568815;37.49654372436262
23908;Salimmo;1060;I4L01028007;578.0;28289.29629868732;26796.614819030485;1.0557041062737804;0.3334545708742853;;21062.5;1.3431119904421278;75.53311048908941
16902;Baitone Est;613;I4L01028016;586.0;21150.2341920946;19822.158474315536;1.0669995510075208;0.4869287462365144;;15325.0;1.380113160984966;32.9497116542547
6465;Cima Laste Nord;406;I4L01025001;590.1;30922.777853280226;24563.29491053164;1.258901868251475;0.7297085209594949;;20212.5;1.529883876476449;58.11058274393595
16626;Cima Laste Nord;732;I4L01025001;590.1;30922.777853280226;24563.29491053164;1.258901868251475;0.7297085209594949;;20212.5;1.529883876476449;58.11058274393595
23979;Cima Wanda;1890;I4L01025002;590.2;28182.47116249787;29175.21118886709;0.9659731674282434;0.3856644171477146;;19325.0;1.4583426216040294;123.15549668640928
211022;Aviolo;3994;I4L01025003;591.0;257647.64371157484;249471.787838642;1.032772667177184;0.5918916623700108;1.307149520013915;200462.5;1.285266040838435;148.14797177627133
12455;Cima dei Laghi Gelati;466;-;591.1;16018.238593383168;14100.588331899511;1.1359978900416086;0.5466454360665269;;11425.0;1.402034012549949;29.73853308598329
21016;Val Gallinera II;839;I4L01025006;593.0;158673.5497045295;142556.68948587778;1.1130557974990594;0.5119398557353156;1.204424431800247;107325.0;1.4784397829446028;273.5345592292785
33278;Val Gallinera II;1266;I4L01025006;593.0;158673.5497045295;142556.68948587778;1.1130557974990594;0.5119398557353156;1.204424431800247;107325.0;1.4784397829446028;273.5345592292785
63340;Val Gallinera II;1892;I4L01025006;593.0;158673.5497045295;142556.68948587778;1.1130557974990594;0.5119398557353156;1.204424431800247;107325.0;1.4784397829446028;273.5345592292785
16820;Val Gallinera III;540;I4L01025007;594.0;24351.25569351445;22913.66389868349;1.0627394990686565;0.9687224467407;1.8671708660653272;15450.0;1.5761330545964043;40.37341085390299
26911;Val Gallinera IV;682;I4L01025008;595.0;35375.438989964154;30517.9820796682;1.159167041176425;0.6030863877173271;0.7085828345498102;25075.0;1.410785203986606;44.890834179616604
103365;Bompià;1670;I4L01025009;596.0;115273.58328164568;101355.13551755273;1.1373235573414289;0.5624335383172085;0.8909148287997445;98587.5;1.1692515104008692;35.13645630568658
31842;Cima del Laghetto;1080;I4L01025012;599.0;32319.249739033763;31540.328925030226;1.024696026977239;0.5657479436572825;1.3722935277002897;28912.5;1.1178296494261568;27.098475642241848
